cliente_id,idade,genero,parceiro,dependentes,acessibilidade,tempo_assinatura_meses,plano_assinatura,valor_mensal,visualizacoes_mes,tempo_medio_sessao_min,avaliacao_conteudo,media_avaliacao_plataforma,formato_mais_assistido,contatos_suporte,metodo_pagamento,dispositivo_principal,churn
CLI_000001,29.0,Feminino,1.0,,0,53.0,Padrão,29.9,2,40,4.5,4.0,Séries,9.0,Cartão de Crédito,Tablet,0
CLI_000002,69.0,Feminino,,0.0,0,,Premium,39.9,72,89,1.2,2.3,Infantil,6.0,Boleto,Tablet,1
CLI_000003,61.0,Feminino,1.0,0.0,0,19.0,Básico,19.9,11,21,2.5,3.3,Documentários,9.0,Débito,Tablet,1
CLI_000004,33.0,Feminino,1.0,1.0,0,,Básico,19.9,44,145,3.0,,Esportivos,4.0,Débito,TV,1
CLI_000005,54.0,Feminino,1.0,0.0,0,19.0,Básico,19.9,97,173,3.4,4.0,Filmes,7.0,Boleto,Mobile,0
CLI_000006,35.0,Masculino,1.0,0.0,0,25.0,Padrão,29.9,57,184,4.2,2.6,Documentários,4.0,PIX,tv,0
CLI_000007,33.0,Feminino,1.0,0.0,0,,Padrão,29.9,97,154,0.5,3.8,Filmes,0.0,PIX,Desktop,0
CLI_000008,58.0,Feminino,0.0,0.0,0,49.0,Básico,19.9,82,146,3.8,3.8,Séries,5.0,Credito,tv,0
CLI_000009,63.0,Feminino,1.0,0.0,0,22.0,Básico,19.9,46,108,0.5,2.8,Séries,6.0,Boleto,Mobile,0
CLI_000010,26.0,Feminino,1.0,0.0,0,15.0,Premium,39.9,84,161,4.6,4.7,Séries,0.0,Boleto,Mobile,0
CLI_000011,73.0,Masculino,1.0,0.0,0,8.0,Padrão,29.9,71,94,,3.7,Séries,8.0,Credito,Mobile,0
CLI_000012,62.0,Feminino,0.0,,0,,Básico,19.9,55,116,3.9,3.1,Séries,1.0,Boleto,Desktop,1
CLI_000013,39.0,Masculino,0.0,,0,58.0,Básico,19.9,39,123,4.6,4.0,Séries,4.0,PIX,TV,0
CLI_000014,21.0,Masculino,1.0,0.0,0,24.0,Básico,19.9,7,46,3.6,4.2,Novelas,0.0,Débito Automático,Mobile,0
