cliente_id,idade,genero,regiao,tipo_contrato,metodo_pagamento,plano_assinatura,valor_mensal,tempo_assinatura_meses,dias_ultimo_acesso,acessibilidade,contatos_suporte,visualizacoes_mes,tempo_medio_sessao_min,dispositivo_principal,categoria_favorita,avaliacao_conteudo_media,avaliacao_conteudo_ultimo_mes,avaliacao_plataforma,churn
CLI_000001,44,Feminino,Sudeste,Mensal,Pix,Padrão,38.0,42,27,0,2,15,169,Mobile,Séries,"5,0","3,0","2,0",0
CLI_000002,36,Feminino,Sudeste,Mensal,Crédito Recorrente,Premium,49.9,20,23,0,1,15,97,Mobile,Filmes,"2,0",,"3,0",0
CLI_000003,46,Feminino,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,6,14,0,2,56,118,Desktop,Séries,"1,5",,,0
CLI_000004,57,Masculino,Nordeste,Mensal,Crédito Recorrente,Básico,24.9,10,70,0,0,0,31,TV,Séries,"4,0",,,1
CLI_000005,34,Outros,Nordeste,Mensal,Crédito Recorrente,Premium,49.9,22,31,0,1,0,46,mobile,Esportes,"4,0",,"1,5",0
CLI_000006,34,,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,7,37,0,0,0,82,tv,Esportes,"4,0",,"3,0",0
CLI_000007,58,Masculino,Sul,Anual,Crédito Recorrente,Premium,38.0,1,25,1,2,8,50,Tablet,Documentários,,,"3,5",0
CLI_000008,47,Feminino,Nordeste,Mensal,Débito,Básico,24.9,40,15,0,3,86,61,Desktop,Esportes,"4,0",,"5,0",0
CLI_000009,31,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,7,33,0,1,0,14,Mobile,Séries,,,"3,5",0
CLI_000010,45,Masculino,Sul,Anual,Crédito Recorrente,Premium,38.0,12,91,0,1,0,7,Mobile,Séries,"2,0",,"3,0",1
CLI_000011,31,Masculino,Sudeste,Mensal,Débito Automático,Padrão,38.0,12,35,0,0,0,33,tv,Documentários,"4,0",,"3,0",0
CLI_000012,31,Masculino,Centro-Oeste,Mensal,Débito,Básico,24.9,28,41,0,2,0,33,mobile,Documentários,,,"1,0",1
CLI_000013,41,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,4,41,0,3,0,125,Tablet,Novelas,"4,0",,"1,5",0
CLI_000014,18,Feminino,Sudeste,Mensal,Débito,Básico,24.9,12,7,0,1,44,163,Tablet,Esportes,,,,0
CLI_000015,18,Feminino,Sul,Mensal,Débito,Básico,24.9,30,14,0,1,18,69,Tablet,Filmes,"4,0","5,0","2,5",0
CLI_000016,30,Masculino,Sul,Mensal,Pix,Básico,24.9,22,24,0,3,15,82,Tablet,Séries,"1,5","3,0",,0
CLI_000017,24,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,12,21,0,0,9,87,Mobile,Filmes,"4,0","3,5","4,5",0
CLI_000018,42,Não Informar,Centro-Oeste,Mensal,Crédito Recorrente,Básico,24.9,19,14,0,0,92,41,mobile,Séries,"4,0",,"3,5",0
CLI_000019,26,Feminino,Sudeste,Mensal,Débito,Básico,24.9,2,48,0,2,0,110,TV,Séries,"2,0",,"4,0",0
CLI_000020,19,Feminino,Norte,Anual,Crédito Recorrente,Padrão,32.0,4,43,0,2,0,137,Tablet,Documentários,"4,0",,,0
CLI_000021,57,Feminino,Nordeste,Mensal,Pix,Básico,24.9,15,35,0,3,0,39,TV,Infantil,"1,5",,"1,0",1
CLI_000022,35,,Centro-Oeste,Mensal,Pix,Básico,24.9,11,15,0,1,28,91,TV,Séries,"3,5",,"2,5",0
CLI_000023,38,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,4,29,0,2,11,6,Tablet,Infantil,"2,5","5,0","4,0",0
CLI_000024,19,Masculino,Sudeste,Mensal,Boleto,Básico,24.9,0,0,0,1,7,30,TV,Séries,,"1,5","5,0",1
CLI_000025,30,Masculino,Sudeste,Anual,Crédito Recorrente,Padrão,32.0,30,43,0,3,0,86,Mobile,Documentários,"3,0",,"2,0",0
CLI_000026,39,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,0,1,0,1,112,116,tv,Filmes,,"4,5",,0
CLI_000027,23,,Sudeste,Anual,Crédito Recorrente,Premium,38.0,0,1,0,2,56,99,TV,Filmes,,"4,0","2,5",0
CLI_000028,42,Masculino,Sudeste,Anual,Crédito Recorrente,Básico,22.0,1,23,0,0,18,128,Tablet,Documentários,,,"5,0",0
CLI_000029,30,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,0,0,0,2,26,123,Tablet,Documentários,,"3,0","4,5",0
CLI_000030,34,Masculino,Sudeste,Mensal,Pix,Básico,24.9,11,75,0,5,0,26,mobile,Filmes,,,,1
CLI_000031,30,Feminino,Centro-Oeste,Anual,Crédito Recorrente,Premium,38.0,17,25,0,1,5,68,mobile,Filmes,"4,0",,"3,0",0
CLI_000032,62,Não Informar,Nordeste,Mensal,Crédito Recorrente,Básico,24.9,0,0,0,2,67,25,tv,Séries,,,,0
CLI_000033,37,Feminino,Sudeste,Anual,Crédito Recorrente,Padrão,32.0,1,18,0,3,23,93,Tablet,Filmes,,"3,5","4,5",0
CLI_000034,24,Não Informar,Nordeste,Mensal,Cartão de Crédito,Básico,24.9,3,45,0,1,0,41,tv,Séries,"2,0",,"5,0",1
CLI_000035,48,Não Informar,Sul,Anual,Crédito Recorrente,Premium,38.0,1,24,0,0,13,104,Tablet,Filmes,,,"3,0",0
CLI_000036,22,Feminino,Sudeste,Mensal,Débito,Básico,24.9,21,8,0,0,89,124,tv,Séries,"4,0",,"1,0",0
CLI_000037,40,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,9,19,0,0,71,45,mobile,Documentários,"4,0","3,5",,0
CLI_000038,18,Masculino,Centro-Oeste,Mensal,Débito Automático,Padrão,38.0,19,7,0,1,52,96,Desktop,Novelas,"4,0","5,0","3,5",0
CLI_000039,20,Masculino,Sul,Anual,Crédito Recorrente,Básico,22.0,11,28,0,0,17,78,TV,Filmes,"4,0",,"5,0",0
CLI_000040,40,,Sudeste,Anual,Crédito Recorrente,Padrão,32.0,26,39,0,0,0,35,TV,Filmes,"4,0",,"3,0",0
CLI_000041,47,Feminino,Sudeste,Mensal,Débito,Básico,24.9,1,13,0,2,37,71,TV,Infantil,,"3,5","1,0",0
CLI_000042,40,Masculino,Nordeste,Mensal,Crédito Recorrente,Básico,24.9,13,19,0,2,17,24,Desktop,Filmes,"2,0","2,5","1,0",1
CLI_000043,36,,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,15,12,0,1,13,70,Mobile,Séries,,,"4,0",0
CLI_000044,34,Feminino,Sudeste,Mensal,Crédito Recorrente,Premium,49.9,12,16,0,0,77,42,TV,Séries,,,"2,5",0
CLI_000045,18,Masculino,Sudeste,Anual,Crédito Recorrente,Básico,22.0,5,38,0,0,0,143,Desktop,Filmes,"4,5",,"3,5",0
CLI_000046,28,Masculino,Sudeste,Mensal,Pix,Básico,24.9,1,13,0,4,55,72,tv,Filmes,,"5,0","3,5",0
CLI_000047,32,Masculino,Sul,Mensal,Boleto,Padrão,38.0,8,12,1,0,24,63,Tablet,Esportes,"5,0",,"3,0",0
CLI_000048,51,Masculino,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,3,33,0,0,0,51,TV,Infantil,"4,0",,"4,5",0
CLI_000049,42,Masculino,Nordeste,Mensal,Crédito Recorrente,Básico,24.9,1,22,0,2,4,16,TV,Documentários,,"2,0",,1
CLI_000050,18,Feminino,Norte,Anual,Crédito Recorrente,Premium,38.0,4,12,0,1,112,94,TV,Documentários,,"3,0","2,5",0
CLI_000051,42,Feminino,Centro-Oeste,Mensal,Crédito Recorrente,Básico,24.9,17,50,1,1,0,13,Mobile,Esportes,"2,0",,,1
CLI_000052,32,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,6,38,0,1,0,122,Mobile,Documentários,,,"2,0",0
CLI_000053,29,,Sudeste,Mensal,Pix,Básico,24.9,3,27,0,2,16,39,TV,Esportes,"4,0",,"1,5",0
CLI_000054,45,Não Informar,Sul,Mensal,Crédito Recorrente,Básico,24.9,3,22,0,0,14,36,TV,Infantil,"4,5","5,0",,0
CLI_000055,51,Feminino,Sudeste,Mensal,Débito Automático,Básico,24.9,15,34,0,3,0,17,mobile,Filmes,"1,5",,"1,0",1
CLI_000056,50,Masculino,Norte,Mensal,Crédito Recorrente,Básico,24.9,8,30,0,3,15,84,TV,Filmes,"4,0","4,5","5,0",0
CLI_000057,27,Não Informar,Norte,Mensal,Crédito Recorrente,Básico,24.9,5,9,0,0,68,108,Mobile,Filmes,,,"3,0",0
CLI_000058,33,Masculino,Centro-Oeste,Mensal,Crédito Recorrente,Padrão,38.0,19,15,0,1,77,28,Desktop,Esportes,"1,0",,"2,0",0
CLI_000059,42,Feminino,Nordeste,Mensal,Cartão de Crédito,Básico,24.9,1,24,1,1,15,144,mobile,Séries,,,"1,5",0
CLI_000060,50,Masculino,Sul,Mensal,Pix,Padrão,38.0,15,33,0,0,0,5,Mobile,Documentários,,,"4,0",1
CLI_000061,31,Feminino,Nordeste,Anual,Crédito Recorrente,Padrão,32.0,32,34,0,0,0,22,Tablet,Filmes,"2,5",,"4,5",1
CLI_000062,35,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,14,12,0,1,69,66,mobile,Filmes,"4,0","3,0","1,0",0
CLI_000063,23,Masculino,Centro-Oeste,Mensal,Boleto,Básico,24.9,25,13,0,3,67,157,Desktop,Filmes,"4,0","4,5",,0
CLI_000064,22,Feminino,Sudeste,Mensal,Débito,Padrão,38.0,2,40,0,0,0,88,mobile,Esportes,"4,0",,"3,0",0
CLI_000065,48,Feminino,Nordeste,Mensal,Crédito Recorrente,Padrão,38.0,10,11,0,1,21,128,Mobile,Séries,"1,0",,,0
CLI_000066,55,Feminino,Centro-Oeste,Mensal,Pix,Premium,49.9,4,29,0,0,2,24,TV,Esportes,,,"4,5",1
CLI_000067,37,Masculino,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,6,85,0,1,0,31,Tablet,Filmes,"2,0",,"4,0",1
CLI_000068,51,Feminino,Sul,Mensal,Débito,Básico,24.9,12,10,0,2,57,53,Desktop,Infantil,"2,5","4,5","5,0",0
CLI_000069,42,Masculino,Centro-Oeste,Anual,Crédito Recorrente,Padrão,32.0,2,3,0,0,30,64,mobile,Esportes,"2,0","3,5","4,5",0
CLI_000070,29,Masculino,Norte,Mensal,Crédito Recorrente,Premium,49.9,19,35,1,0,0,72,mobile,Infantil,"4,0",,"1,0",0
CLI_000071,42,Feminino,Nordeste,Anual,Crédito Recorrente,Premium,38.0,5,30,0,2,2,13,Mobile,Filmes,,"2,5","5,0",1
CLI_000072,57,Não Informar,Centro-Oeste,Anual,Crédito Recorrente,Premium,38.0,8,75,0,1,0,5,Mobile,Séries,,,"4,5",1
CLI_000073,37,Feminino,Centro-Oeste,Mensal,Boleto,Padrão,38.0,12,71,0,1,0,18,mobile,Infantil,"2,0",,"2,5",1
CLI_000074,58,Feminino,Norte,Mensal,Débito Automático,Básico,24.9,11,4,0,1,54,106,tv,Filmes,"3,5",,"3,5",0
CLI_000075,18,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,21,13,0,1,62,100,tv,Novelas,,,,0
CLI_000076,48,Feminino,Sudeste,Mensal,Crédito Recorrente,Padrão,38.0,2,3,0,0,32,128,Mobile,Filmes,"4,0","5,0",,0
CLI_000077,39,Masculino,Sul,Mensal,Pix,Básico,24.9,10,17,0,3,17,106,TV,Séries,"4,0","5,0",,0
CLI_000078,34,Feminino,Sudeste,Mensal,Débito,Básico,24.9,9,33,0,2,0,22,tv,Filmes,"1,5",,"2,0",1
CLI_000079,39,Não Informar,Sul,Mensal,Cartão de Crédito,Básico,24.9,5,14,0,1,74,97,Desktop,Filmes,"3,5",,"4,0",0
CLI_000080,18,Masculino,Sul,Mensal,Débito,Padrão,38.0,8,10,0,1,100,122,mobile,Filmes,,"4,0","1,0",0
