cliente_id,idade,tempo_assinatura_meses,plano_assinatura,valor_mensal,visualizacoes_mes,tempo_medio_sessao_min,contatos_suporte,avaliacao_conteudo,metodo_pagamento,dispositivo_principal,churn
CLI00001,23,30,PREMIUM,39.90,54,47,6,2.9,Débito,mobile,0
CLI00002,26,58,PREMIUM,39.90,44,43,8,4.9,Credito,Mobile,0
CLI00003,74,39,Premium,39.90,13,130,6,1.9,,mobile,0
CLI00004,62,40,basico,19.90,36,175,5,3.3,Boleto,Mobile,1
CLI00005,67,40,Padrão,29.90,40,90,1,1.4,PIX,Desktop,0
CLI00006,77,43,PREMIUM,39.90,57,169,9,3.7,,TV,0
CLI00007,70,18,Básico,19.90,39,185,7,4.8,Credito,tv,1
CLI00008,54,6,Padrão,29.90,58,69,2,2.3,Credito,TV,0
CLI00009,49,18,Básico,19.90,9,22,5,1.0,PIX,Tablet,0
CLI00010,21,41,PREMIUM,39.90,79,121,3,0.5,"Cartão de Crédito",tv,0
CLI00011,56,4,basico,19.90,35,18,7,2.9,Boleto,Tablet,1
CLI00012,50,48,PREMIUM,39.90,7,169,3,0.4,Boleto,TV,1
CLI00013,46,18,basico,19.90,81,160,5,4.9,Débito,Mobile,0
CLI00014,30,41,Básico,19.90,27,178,6,2.8,Credito,TV,0
CLI00015,24,1,Básico,19.90,73,166,7,3.6,Credito,Tablet,1
CLI00016,47,22,Básico,19.90,2,42,1,2.6,Credito,Desktop,0
CLI00017,62,55,basico,19.90,93,179,4,1.2,,Tablet,0
CLI00018,25,10,Básico,19.90,30,117,4,4.4,Débito,mobile,1
CLI00019,60,11,Padrão,29.90,67,27,1,2.5,,TV,0
CLI00020,31,21,basico,19.90,8,83,3,1.9,"Cartão de Crédito",Mobile,1
CLI00021,49,3,Padrão,29.90,38,17,2,1.8,,mobile,1
CLI00022,25,12,Padrão,29.90,27,138,5,4.1,,TV,0
CLI00023,56,55,basico,19.90,64,71,0,4.0,,mobile,0
CLI00024,43,60,Básico,19.90,79,133,3,4.4,Credito,tv,0
CLI00025,44,48,PREMIUM,39.90,75,129,4,0.5,Débito,TV,0
CLI00026,31,15,Premium,39.90,70,61,0,4.3,Credito,Tablet,0
CLI00027,44,12,Básico,19.90,54,50,6,0.4,Boleto,mobile,1
CLI00028,25,2,PREMIUM,39.90,11,120,9,3.2,"Cartão de Crédito",TV,1
CLI00029,48,32,Básico,19.90,39,165,4,3.8,Credito,TV,1
CLI00030,68,51,Básico,19.90,3,17,7,0.1,,Desktop,1
CLI00031,66,30,Padrão,29.90,32,49,5,2.7,"Cartão de Crédito",TV,0
CLI00032,56,37,Padrão,29.90,84,142,,2.1,,tv,0
CLI00033,39,38,PREMIUM,39.90,14,107,0,4.9,"Cartão de Crédito",Desktop,0
CLI00034,41,19,Básico,19.90,46,13,5,3.9,"Cartão de Crédito",TV,1
CLI00035,38,32,Premium,39.90,12,39,9,3.4,,Tablet,1
CLI00036,74,60,PREMIUM,39.90,39,64,8,0.6,Débito,Mobile,1
CLI00037,69,3,basico,19.90,18,133,2,2.2,Credito,Tablet,1
CLI00038,22,20,Premium,39.90,75,135,0,2.5,Credito,Mobile,0
CLI00039,50,53,Padrão,29.90,35,66,1,3.3,PIX,TV,0
