cliente_id,churn,idade,genero,regiao,tipo_contrato,metodo_pagamento,plano_assinatura,valor_mensal,tempo_assinatura_meses,dias_ultimo_acesso,acessibilidade,contatos_suporte,visualizacoes_mes,tempo_medio_sessao_min,dispositivo_principal,categoria_favorita,avaliacao_conteudo_media,avaliacao_conteudo_ultimo_mes,avaliacao_plataforma
1,0,22,,Nordeste,Mensal,Pix,Básico,20.9,34,1,0,2,1,17.3,Tablet,Novelas,3.5,3.0,
2,1,24,Feminino,Nordeste,Mensal,Débito Automático,Básico,20.9,30,5,0,5,0,35.6,Mobile,Documentários,4.0,4.5,3.5
3,1,27,Feminino,Sul,Mensal,Boleto,Básico,20.9,1,5,0,1,19,34.8,Tablet,Infantil,,4.0,4.5
4,0,28,Masculino,Nordeste,Mensal,Crédito Recorrente,Padrão,44.9,3,11,0,1,48,40.7,Tablet,Infantil,,2.5,
5,0,25,Masculino,Sudeste,Mensal,Débito,Básico,20.9,29,1,0,3,43,32.1,Mobile,Séries,3.5,3.5,4.5
6,1,37,,Nordeste,Mensal,Crédito Recorrente,Básico,20.9,32,8,0,4,0,9.6,Mobile,Esportes,,3.0,4.5
7,0,23,Masculino,Nordeste,Anual,Crédito Recorrente,Básico,18.9,18,7,0,1,6,34.9,Mobile,Esportes,4.0,2.0,4.5
8,0,38,Feminino,Centro-Oeste,Anual,Crédito Recorrente,Premium,48.9,18,6,0,0,47,46.1,Mobile,Séries,4.0,3.0,
9,0,38,Masculino,Sul,Mensal,Pix,Padrão,44.9,5,14,0,1,25,26.4,TV,Séries,3.0,4.0,
10,0,44,Feminino,Sul,Anual,Crédito Recorrente,Padrão,38.9,7,4,0,1,36,5.0,TV,Infantil,2.0,3.5,3.0
11,0,36,Feminino,Sul,Mensal,Cartão de Crédito,Padrão,44.9,7,3,1,1,28,30.3,TV,Infantil,3.5,,
12,0,49,Feminino,Sudeste,Mensal,Cartão de Crédito,Básico,20.9,8,5,0,2,13,46.3,Desktop,Filmes,,,4.5
13,1,50,Feminino,Sudeste,Mensal,Crédito Recorrente,Padrão,44.9,6,19,0,0,25,42.6,TV,Séries,,4.0,2.5
14,0,46,Feminino,Sudeste,Mensal,Pix,Padrão,44.9,3,2,0,1,54,37.0,TV,Esportes,4.0,,
15,1,36,Feminino,Sudeste,Mensal,Boleto,Padrão,44.9,28,8,0,2,8,21.5,TV,Novelas,2.0,4.5,4.0
16,0,32,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,48.9,14,6,0,0,6,27.6,Mobile,Infantil,4.0,5.0,2.0
17,1,27,Masculino,Norte,Mensal,Pix,Padrão,44.9,11,3,0,1,39,27.9,Desktop,Infantil,,4.5,2.0
18,0,26,Feminino,Nordeste,Anual,Crédito Recorrente,Básico,18.9,1,4,0,0,2,32.0,Desktop,Filmes,3.5,4.0,
19,0,35,Masculino,Nordeste,Mensal,Pix,Básico,20.9,1,9,0,8,57,33.7,Desktop,Documentários,4.5,4.5,
20,0,42,Feminino,Sul,Mensal,Cartão de Crédito,Premium,59.9,6,8,0,0,17,7.1,Mobile,Filmes,3.5,,4.0
21,0,34,Masculino,Sudeste,Anual,Crédito Recorrente,Básico,18.9,36,6,1,5,53,27.8,Desktop,Infantil,4.5,,4.5
22,0,45,Masculino,Sudeste,Mensal,Cartão de Crédito,Padrão,44.9,3,5,0,2,2,14.4,Mobile,Infantil,3.0,3.0,
23,0,35,Outros,Sul,Mensal,Cartão de Crédito,Padrão,44.9,32,3,0,3,18,53.8,Desktop,Novelas,5.0,2.5,2.0
24,1,65,Masculino,Sudeste,Anual,Crédito Recorrente,Padrão,38.9,3,12,0,2,30,18.5,TV,Esportes,,5.0,1.5
25,0,34,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,48.9,11,9,0,1,21,7.8,Mobile,Séries,3.5,,4.0
26,0,43,Masculino,Sudeste,Mensal,Cartão de Crédito,Premium,59.9,11,15,0,0,21,21.4,Mobile,Filmes,4.0,,4.0
27,0,26,,Sudeste,Anual,Crédito Recorrente,Premium,48.9,23,6,0,1,9,12.1,TV,Esportes,,4.0,
28,0,47,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,48.9,23,12,0,3,25,25.1,Mobile,Séries,3.0,3.5,5.0
29,0,24,Masculino,Sudeste,Mensal,Débito Automático,Padrão,44.9,4,24,0,3,35,26.3,Desktop,Séries,4.0,,3.5
30,0,52,,Sul,Mensal,Crédito Recorrente,Básico,20.9,0,4,0,0,45,25.8,TV,Infantil,4.0,3.0,3.0
31,1,22,Masculino,Sudeste,Mensal,Crédito Recorrente,Padrão,44.9,29,5,0,0,6,20.5,Desktop,Séries,,,
32,1,39,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,48.9,15,8,0,0,4,19.9,Mobile,Séries,1.5,3.0,
33,0,84,Feminino,Sul,Mensal,Débito,Premium,59.9,28,2,0,9,8,37.3,Desktop,Filmes,4.0,,
34,1,25,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,20.9,14,18,0,2,15,15.3,Mobile,Séries,4.0,,
35,0,75,Feminino,Sudeste,Mensal,Cartão de Crédito,Padrão,44.9,10,6,0,1,1,23.8,Desktop,Infantil,,3.0,4.0
36,0,27,Feminino,Centro-Oeste,Mensal,Pix,Padrão,44.9,3,8,0,0,43,41.2,TV,Séries,3.5,3.0,2.5
37,0,27,Feminino,Sul,Anual,Crédito Recorrente,Padrão,38.9,13,4,0,4,49,42.3,Tablet,Documentários,3.5,4.5,3.0
38,0,43,Masculino,Sul,Mensal,Pix,Premium,59.9,35,8,0,1,20,36.2,Desktop,Esportes,3.5,3.0,4.0
39,1,29,Feminino,Sul,Anual,Crédito Recorrente,Padrão,38.9,5,4,0,4,3,11.2,TV,Documentários,4.0,2.0,4.0
40,0,33,Feminino,Sudeste,Anual,Crédito Recorrente,Padrão,38.9,23,12,0,2,4,26.9,TV,Filmes,4.0,3.5,
